Species	Size	Guild	Life form	Attachment	Nitrogen fixing	Pollution tolerance	Trophic preference	Oxygen requirement
Achnanthidium sublanceolatum	Micro	Low profile	Unicellular life form	Strong attachment	N	1.326	4.799	2.531
Actinella spp.	Micro	Low profile	Unicellular life form	Strong attachment	N	2	4	2
Actinocyclus normanii	Macro	Low profile	Unicellular life form	Unattached	N	1	4	3
Actinoptychus spp.	Micro	Low profile	Unicellular life form	Strong attachment	N	1.946	5	1
Adlafia bryophila	Nano	Low profile	Unicellular life form	Weak attachment	N	1	3	1
Adlafia lamdongiensis	Nano	Low profile	Unicellular life form	Weak attachment	N	1.314	2.65	1
Adlafia minuscula	Nano	Low profile	Unicellular life form	Weak attachment	N	3	1	1
Adlafia multnomahii	Nano	Low profile	Unicellular life form	Weak attachment	N	1.89	2.449	1
Adlafia spp.	Nano	Low profile	Unicellular life form	Weak attachment	N	1.61	2.787	1
Adlafia suchlandtii	Nano	Motile	Unicellular life form	Unattached	N	1	2.692	1
Amphipleura pellucida	Micro	Low profile	Colonial life form	Strong attachment	N	2	3	1
Amphiprora spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	2	4	1
Amphora aequalis	Meso	Low profile	Unicellular life form	Weak attachment	N	4	5	1.543
Amphora alata	Meso	Low profile	Unicellular life form	Weak attachment	N	1.932	5	1.835
Amphora alpestris	Meso	Low profile	Unicellular life form	Weak attachment	N	1	5	1.845
Amphora baltica	Meso	Low profile	Unicellular life form	Weak attachment	N	2.794	5	1.899
Amphora brevis	Meso	Low profile	Unicellular life form	Weak attachment	N	2.195	5	1.869
Amphora coffeiformis	Meso	Low profile	Unicellular life form	Weak attachment	N	2.042	5	1.884
Amphora commutata	Meso	Low profile	Unicellular life form	Weak attachment	N	4	5	1.884
Amphora copulata	Meso	Low profile	Unicellular life form	Weak attachment	N	2	5	2
Amphora fontinalis	Meso	Low profile	Unicellular life form	Weak attachment	N	1.8	5	1.548
Amphora inariensis	Meso	Low profile	Unicellular life form	Weak attachment	N	1	5	1.84
Amphora indistincta	Meso	Low profile	Unicellular life form	Weak attachment	N	1	5	1.896
Amphora lange-bertalotii var. tenuis	Meso	Low profile	Unicellular life form	Weak attachment	N	2.452	5	1.748
Amphora libyca	Meso	Low profile	Unicellular life form	Weak attachment	N	2	5	2
Amphora montana	Meso	Low profile	Unicellular life form	Weak attachment	N	3.2	5	1
Amphora ovalis	Meso	Low profile	Unicellular life form	Weak attachment	N	2.836	5	2
Amphora pediculus	Meso	Low profile	Unicellular life form	Weak attachment	N	2	5	2
Amphora spp.	Meso	Low profile	Unicellular life form	Weak attachment	N	2.661	5	1.834
Amphora subatomus	Meso	Low profile	Unicellular life form	Weak attachment	N	1.44	5	1.86
Amphora tewnteana	Meso	Low profile	Unicellular life form	Weak attachment	N	2.213	5	1.815
Amphora veneta	Meso	Low profile	Unicellular life form	Weak attachment	N	5	5	1.857
Aneumastus rostratus	Macro	Motile	Unicellular life form	Unattached	N	1.946	5	1
Anomoeoneis vitrea	Micro	Low profile	Unicellular life form	Weak attachment	N	1	5	4
Anomoeoneis sphaerophora	Macro	Motile	Unicellular life form	Unattached	N	4	5	4
Anorthoneis spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	2.5	5	4
Asterionella formosa	Meso	High profile	Colonial life form	Unattached	N	2	4	2
Asterionella spp.	Meso	High profile	Colonial life form	Strong attachment	N	2	4	2
Attheya longicornis	Micro	Low profile	Unicellular life form	Weak attachment	N	2.378	5	1.808
Aulacoseira ambigua	Macro	High profile	Colonial life form	Unattached	N	3	5	3
Aulacoseira ambigua f. japonica	Macro	Motile	Colonial life form	Weak attachment	N	1.881	4.374	2.617
Aulacoseira baicalensis	Macro	Motile	Colonial life form	Weak attachment	N	2.254	3.558	1.391
Aulacoseira canadensis	Macro	High profile	Unicellular life form	Unattached	N	2.044	4.367	2.561
Aulacoseira crassipunctata	Macro	Motile	Colonial life form	Weak attachment	N	2	4.366	2.56
Aulacoseira granulata	Macro	High profile	Colonial life form	Unattached	N	3.1	5	3
Aulacoseira granulata f. spiralis	Macro	Motile	Colonial life form	Weak attachment	N	2.23	4.33	2.504
Aulacoseira granulata var. angustissima	Macro	High profile	Colonial life form	Unattached	N	3.2	4.504	2.645
Aulacoseira granulata var. curvata	Macro	Motile	Colonial life form	Weak attachment	N	2.359	4.103	2.103
Aulacoseira italica	Macro	Motile	Colonial life form	Weak attachment	N	2.3	4.33	2.597
Aulacoseira muzzanensis	Macro	High profile	Unicellular life form	Unattached	N	2.2	4.33	2.588
Aulacoseira pusilla	Macro	Motile	Colonial life form	Weak attachment	N	2	4.563	2.667
Aulacoseira spp.	Macro	Motile	Colonial life form	Weak attachment	N	1.663	4.255	2.54
Aulacoseira subarctica	Macro	High profile	Colonial life form	Unattached	N	2	2	1
Aulacoseira tenella	Nano	Low profile	Unicellular life form	Unattached	N	1.2	4.345	2.599
Aulacoseira valida	Macro	Motile	Colonial life form	Weak attachment	N	2	4.333	2.323
Bacterosira constricta	Meso	High profile	Colonial life form	Weak attachment	N	1	2	2
Bacillaria paxillifera	Meso	Motile	Colonial life form	Weak attachment	N	4	4	1
Biddulphia tridens	Micro	Low profile	Unicellular life form	Weak attachment	N	1.758	4.895	2.414
Brachysira brebissonii	Micro	Low profile	Unicellular life form	Weak attachment	N	1	2	2
Brachysira microcephala	Micro	Low profile	Unicellular life form	Weak attachment	N	1	2	2
Brachysira neglectissima	Micro	Low profile	Unicellular life form	Weak attachment	N	1	2	2
Brachysira neoexilis	Micro	Low profile	Unicellular life form	Weak attachment	N	1	2	2
Brachysira subtilis	Micro	Motile	Unicellular life form	Unattached	N	1	2	2
Brachysira vitrea	Micro	Motile	Unicellular life form	Unattached	N	1	2	2
Caloneis amphisbaena	Large	Motile	Unicellular life form	Unattached	N	1.737	5	3
Caloneis bacillum	Meso	Motile	Unicellular life form	Weak attachment	N	2	3.73	1.768
Caloneis branderii	Meso	Motile	Unicellular life form	Weak attachment	N	1.281	3.664	1.988
Caloneis columbiensis	Meso	Motile	Unicellular life form	Weak attachment	N	1.167	3.574	1.99
Caloneis falcifera	Meso	Motile	Unicellular life form	Weak attachment	N	1.341	3.786	1.99
Caloneis fontinalis	Meso	Motile	Unicellular life form	Weak attachment	N	1.2	3.759	1.995
Caloneis ganga	Meso	Motile	Unicellular life form	Weak attachment	N	1.088	3.699	1.988
Caloneis gibbula	Meso	Motile	Unicellular life form	Weak attachment	N	1.405	3.608	1.98
Caloneis hyalina	Meso	Motile	Unicellular life form	Weak attachment	N	1	3.52	1.991
Caloneis kristinae	Meso	Motile	Unicellular life form	Weak attachment	N	1.658	3.324	2.014
Caloneis lancettula	Meso	Motile	Unicellular life form	Weak attachment	N	1	3.498	1.993
Caloneis lauta	Meso	Motile	Unicellular life form	Weak attachment	N	1	1	1
Caloneis limosa	Meso	Motile	Unicellular life form	Weak attachment	N	1	3.553	1.992
Caloneis molaris	Meso	Motile	Unicellular life form	Weak attachment	N	2	3.679	2.002
Caloneis permagna	Meso	Motile	Unicellular life form	Weak attachment	N	4	3.333	2.011
Caloneis pseudotarag	Meso	Motile	Unicellular life form	Weak attachment	N	1.172	3.659	1.963
Caloneis schroederi	Meso	Motile	Unicellular life form	Weak attachment	N	1	3.57	1.985
Caloneis silicula	Large	Motile	Unicellular life form	Weak attachment	N	1	4	2
Caloneis spp.	Meso	Motile	Unicellular life form	Weak attachment	N	1.081	3.648	1.997
Caloneis ventricosa	Meso	Motile	Unicellular life form	Weak attachment	N	1	3.651	1.985
Capartogramma crucicula	Meso	Motile	Unicellular life form	Unattached	N	1.1	3	2
Ceratomeis arcus	Meso	Low profile	Unicellular life form	Weak attachment	N	1.407	3.563	1.982
Ceratomeis arcus var. amphioxys	Meso	Low profile	Unicellular life form	Weak attachment	N	1.407	3.563	1.982
Chaetoceros spp.	Meso	Low profile	Unicellular life form	Weak attachment	N	3	3	1
Chamaepinnularia mediocris	Nano	Motile	Unicellular life form	Weak attachment	N	2	4	1
Chamaepinnularia soehrensis	Nano	Motile	Unicellular life form	Weak attachment	N	2	4	2
Chamaepinnularia submuscicola	Micro	Low profile	Unicellular life form	Weak attachment	N	2	3	2
Cocconeis disculus	Large	Low profile	Unicellular life form	Strong attachment	N	1	5	2.347
Cocconeis euglypta	Large	Low profile	Unicellular life form	Strong attachment	N	2.4	5	3
Cocconeis hustedtii	Large	Low profile	Unicellular life form	Strong attachment	N	1.2	5	2.675
Cocconeis pediculus	Large	Motile	Unicellular life form	Weak attachment	N	2	5	2
Cocconeis pendiculus	Large	Low profile	Unicellular life form	Strong attachment	N	1.809	5	2.669
Cocconeis placentula	Large	Low profile	Unicellular life form	Weak attachment	N	1.496	5	3
Cocconeis placentula var. euglypta	Large	Low profile	Unicellular life form	Strong attachment	N	2.4	5	2.66
Cocconeis spp.	Large	Low profile	Unicellular life form	Strong attachment	N	1.734	5	2.707
Conticribra weissflogii	Meso	High profile	Colonial life form	Weak attachment	N	4	6	3
Coscinodiscus lacustris	Meso	High profile	Colonial life form	Weak attachment	N	3	2	1
Craticula accomoda	Macro	Motile	Unicellular life form	Unattached	N	5	6	5
Craticula ambigua	Macro	Motile	Unicellular life form	Unattached	N	3	5.106	3.817
Craticula buderi	Micro	Motile	Unicellular life form	Unattached	N	4	5.292	4.192
Craticula citrus	Nano	Motile	Unicellular life form	Unattached	N	3	5.076	3.872
Craticula cuspidata	Macro	Motile	Unicellular life form	Unattached	N	3.4	5	3
Craticula minusculoides	Micro	Low profile	Unicellular life form	Weak attachment	N	4	5.144	3.867
Craticula molestiformis	Nano	Motile	Unicellular life form	Unattached	N	4	5	4
Craticula perrotettii	Micro	Low profile	Unicellular life form	Weak attachment	N	4	5.306	4.335
Craticula riparia	Macro	Motile	Unicellular life form	Unattached	N	3.628	5.078	3.765
Craticula spp.	Micro	Low profile	Unicellular life form	Weak attachment	N	3.65	5.079	3.799
Craticula subminuscula	Micro	Low profile	Unicellular life form	Weak attachment	N	3.605	5	4
Craticula submolesta	Micro	Low profile	Unicellular life form	Weak attachment	N	4	5.075	3.808
Ctenophora pulchella	Macro	Low profile	Unicellular life form	Weak attachment	N	3	5	3
Cyclostephanos dubius	Meso	Low profile	Colonial life form	Unattached	N	3	5	2
Cyclostephanos invisitatus	Meso	Low profile	Unicellular life form	Unattached	N	3.4	5	2
Cyclostephanos spp.	Meso	Low profile	Unicellular life form	Weak attachment	N	3.138	5	2
Cyclotella asterocostata	Macro	Low profile	Unicellular life form	Weak attachment	N	2	5	2.602
Cyclotella atomus	Nano	Low profile	Unicellular life form	Weak attachment	N	4	5	2
Cyclotella atomus var. gracilis	Macro	Low profile	Unicellular life form	Weak attachment	N	3	5	3.113
Cyclotella baltica	Macro	Low profile	Unicellular life form	Weak attachment	N	2.629	5	3.169
Cyclotella bodanica	Macro	Low profile	Unicellular life form	Weak attachment	N	2.596	5	3.901
Cyclotella bodanica var. lemanica	Macro	Low profile	Unicellular life form	Weak attachment	N	1	5	3.129
Cyclotella catenata	Macro	Low profile	Unicellular life form	Weak attachment	N	2	5	2.799
Cyclotella comta	Macro	Low profile	Unicellular life form	Weak attachment	N	2	5	2.603
Cyclotella costei	Macro	Low profile	Unicellular life form	Weak attachment	N	1	5	3.929
Cyclotella distinguenda	Macro	Low profile	Unicellular life form	Unattached	N	2.603	5	1
Cyclotella hubeiana	Macro	Low profile	Unicellular life form	Weak attachment	N	2.457	5	3.054
Cyclotella kuetzingiana	Macro	Low profile	Unicellular life form	Weak attachment	N	3	5	2.668
Cyclotella meduanae	Macro	Low profile	Unicellular life form	Weak attachment	N	4	5	3.357
Cyclotella meneghiniana	Macro	Low profile	Unicellular life form	Weak attachment	N	4	5	5
Cyclotella ocellata	Macro	Low profile	Unicellular life form	Weak attachment	N	3	5	3.727
Cyclotella pseudostelligera	Macro	Low profile	Unicellular life form	Weak attachment	N	2	5	3.044
Cyclotella spp.	Macro	Low profile	Unicellular life form	Weak attachment	N	2.58	5	3.096
Cyclotella stelligera	Macro	Low profile	Unicellular life form	Weak attachment	N	1.8	5	3.145
Cylindrotheca gracilis	Macro	Motile	Unicellular life form	Unattached	N	4.2	3	1
Cymatopleura elliptica	Macro	Motile	Unicellular life form	Weak attachment	N	2	3	1
Cymatopleura elliptica var. constricta	Macro	Motile	Unicellular life form	Weak attachment	N	2	3	1
Cymatopleura solea	Macro	Motile	Unicellular life form	Weak attachment	N	2	4	1
Cymatopleura solea var. apiculata	Macro	Motile	Unicellular life form	Weak attachment	N	2	4	2
Cymbella aequalis	Meso	Low profile	Unicellular life form	Medium attachment	N	1.4	4.644	1.261
Cymbella affinis	Meso	Motile	Unicellular life form	Strong attachment	N	1.457	4.828	1.217
Cymbella algida	Meso	Low profile	Unicellular life form	Medium attachment	N	1.288	5.589	1.202
Cymbella alpina	Meso	Low profile	Unicellular life form	Medium attachment	N	1	5.529	1.221
Cymbella alpina var. minuta	Macro	Low profile	Unicellular life form	Medium attachment	N	1.339	4.984	1.121
Cymbella amphicephala	Meso	Low profile	Unicellular life form	Medium attachment	N	2	4.57	1.446
Cymbella amphioxys	Meso	Low profile	Unicellular life form	Medium attachment	N	1	4.684	1.138
Cymbella arcus	Meso	Low profile	Unicellular life form	Medium attachment	N	1.605	5.634	1.173
Cymbella aspera	Large	Motile	Unicellular life form	Strong attachment	N	2	7	1
Cymbella australica	Meso	Low profile	Unicellular life form	Medium attachment	N	1.482	4.968	1.259
Cymbella bremii	Meso	Low profile	Unicellular life form	Medium attachment	N	1.515	4.436	1.213
Cymbella borealis	Meso	Low profile	Unicellular life form	Medium attachment	N	1.625	6.087	1.192
Cymbella cistula	Macro	Low profile	Unicellular life form	Medium attachment	N	2	5	2
Cymbella cistula var. maculata	Macro	Low profile	Unicellular life form	Medium attachment	N	2	5.875	1.224
Cymbella cistula var. gibbosa	Macro	Low profile	Unicellular life form	Medium attachment	N	2	5.584	1.183
Cymbella cistuliformis	Macro	Low profile	Unicellular life form	Medium attachment	N	1.48	4.663	1.316
Cymbella compacta	Macro	Motile	Unicellular life form	Strong attachment	N	1	5.135	1.244
Cymbella cuspidata	Macro	Low profile	Unicellular life form	Medium attachment	N	1	4.269	1.257
Cymbella cymbiformis	Large	Motile	Unicellular life form	Strong attachment	N	2	2	1
Cymbella delicatula	Macro	Low profile	Unicellular life form	Medium attachment	N	1	4.589	1.139
Cymbella ehrenbergii	Macro	Low profile	Unicellular life form	Medium attachment	N	1	5.525	1.175
Cymbella excisa	Macro	Low profile	Unicellular life form	Medium attachment	N	1.44	5	1
Cymbella excisa var. procera	Macro	Low profile	Unicellular life form	Medium attachment	N	2	4.454	1.192
Cymbella excisa var. subcapitata	Macro	Low profile	Unicellular life form	Medium attachment	N	1.611	4.3	1.074
Cymbella excisiformis	Macro	Motile	Unicellular life form	Strong attachment	N	1.49	5.306	1.213
Cymbella fontinalis	Macro	Motile	Unicellular life form	Unattached	N	1.626	5.333	1.236
Cymbella gaeumanni	Macro	Low profile	Unicellular life form	Medium attachment	N	1.454	5.884	1.191
Cymbella gracilis	Macro	Low profile	Unicellular life form	Medium attachment	N	1	4.259	1.261
Cymbella hantzschiana	Macro	Motile	Unicellular life form	Strong attachment	N	1.489	5.305	1.205
Cymbella helvatica	Macro	Low profile	Unicellular life form	Medium attachment	N	2	5.584	1.183
Cymbella hustedtii	Micro	Motile	Unicellular life form	Strong attachment	N	1.476	4.862	1.257
Cymbella japonica	Macro	Low profile	Unicellular life form	Medium attachment	N	1.554	5.584	1.224
Cymbella jolmolungmensis	Macro	Low profile	Unicellular life form	Medium attachment	N	1.721	4.503	1.106
Cymbella kolbei	Macro	Low profile	Unicellular life form	Medium attachment	N	1.547	5.114	1.229
Cymbella lacustris	Macro	Low profile	Unicellular life form	Medium attachment	N	1	5.609	1.2
Cymbella laevis	Nano	Motile	Unicellular life form	Strong attachment	N	1.487	5.51	1.227
Cymbella lanceolata	Large	Motile	Unicellular life form	Strong attachment	N	1.487	7	1
Cymbella lapponica	Macro	Low profile	Unicellular life form	Medium attachment	N	1.605	5.634	1.173
Cymbella lata	Macro	Low profile	Unicellular life form	Medium attachment	N	1.366	5.68	1.198
Cymbella leptoceros	Macro	Low profile	Unicellular life form	Medium attachment	N	1	4.703	1.32
Cymbella liyangensis	Macro	Low profile	Unicellular life form	Medium attachment	N	1.525	4.547	1.207
Cymbella microcephala	Macro	Low profile	Unicellular life form	Medium attachment	N	2	5.337	1.186
Cymbella naviculiformis	Macro	Low profile	Unicellular life form	Medium attachment	N	2.2	5.38	1.08
Cymbella neocistula	Macro	Motile	Unicellular life form	Strong attachment	N	1.467	5	2
Cymbella neoleptoceros	Macro	Motile	Unicellular life form	Strong attachment	N	1.524	4.672	1.161
Cymbella parva	Macro	Motile	Unicellular life form	Strong attachment	N	1	4.575	1.197
Cymbella perpusilla	Macro	Low profile	Unicellular life form	Medium attachment	N	1	5.798	1.233
Cymbella prostrata	Macro	Low profile	Unicellular life form	Medium attachment	N	2	5.534	1.234
Cymbella proxima	Large	Motile	Unicellular life form	Strong attachment	N	1.47	3	1.274
Cymbella pusilla	Macro	Low profile	Unicellular life form	Medium attachment	N	1	4.681	1.44
Cymbella rupicola	Macro	Low profile	Unicellular life form	Medium attachment	N	1	4.682	1.108
Cymbella sinnata	Macro	Low profile	Unicellular life form	Medium attachment	N	1.583	5.525	1.192
Cymbella spp.	Macro	Low profile	Unicellular life form	Medium attachment	N	1.394	5.063	1.21
Cymbella sphaerophora	Macro	Low profile	Unicellular life form	Medium attachment	N	1.371	4.48	1.183
Cymbella stigmaphora	Macro	Motile	Unicellular life form	Strong attachment	N	1.535	4.659	1.241
Cymbella stuxbergii	Macro	Low profile	Unicellular life form	Medium attachment	N	1.632	5.539	1.198
Cymbella subcistula	Macro	Low profile	Unicellular life form	Medium attachment	N	1.5	4.421	1.252
Cymbella subleptoceros	Macro	Motile	Unicellular life form	Strong attachment	N	1	4.482	1.179
Cymbella subtruncata	Macro	Low profile	Unicellular life form	Medium attachment	N	1.498	4.603	1.403
Cymbella subturgidula	Macro	Motile	Unicellular life form	Strong attachment	N	1.488	4.548	1.326
Cymbella tropica	Macro	Motile	Unicellular life form	Strong attachment	N	1.549	4.151	1.216
Cymbella tumida	Large	Motile	Colonial life form	Strong attachment	N	3	4	1
Cymbella tumidula	Meso	Low profile	Unicellular life form	Medium attachment	N	2	6.049	1.213
Cymbella turgidula	Macro	Motile	Unicellular life form	Strong attachment	N	1.655	4.059	1.169
Cymbella ventricosa	Macro	Low profile	Unicellular life form	Medium attachment	N	1.2	4.259	1.244
Cymbella vulgata	Macro	Motile	Unicellular life form	Strong attachment	N	1.379	3.995	1.259
Cymbopleura amphicephala	Large	Motile	Unicellular life form	Unattached	N	2	5	2
Cymbopleura hercynica	Macro	Low profile	Unicellular life form	Medium attachment	N	1	5	2
Cymbopleura kuelbsii	Macro	Low profile	Unicellular life form	Medium attachment	N	1.49	5	2
Cymbopleura lapponica	Macro	Motile	Unicellular life form	Unattached	N	1.587	5	2
Cymbopleura lata	Macro	Motile	Unicellular life form	Unattached	N	1.449	5	2
Cymbopleura naviculiformis	Macro	Motile	Unicellular life form	Unattached	N	1.438	5	2
Cymbopleura spp.	Macro	Low profile	Unicellular life form	Medium attachment	N	1.464	5	2
Cymbopleura subclavatum	Macro	Low profile	Unicellular life form	Medium attachment	N	1.482	5	2
Delicata delicatula	Meso	High profile	Unicellular life form	Weak attachment	N	1.46	4.62	2.484
Denticula creticola	Nano	Motile	Unicellular life form	Unattached	N	3.774	5.18	3.955
Denticula kuetzingii	Meso	Motile	Unicellular life form	Unattached	N	3.774	5.18	3.955
Diadesmis confervacea	Meso	Motile	Unicellular life form	Strong attachment	N	2	5	3
Diadesmis contenta	Meso	Motile	Unicellular life form	Weak attachment	N	2	5	3
Diatoma anceps	Meso	High profile	Colonial life form	Weak attachment	N	1	4.678	2.816
Diatoma ehrenbergii	Large	High profile	Unicellular life form	Unattached	N	2	4.658	2.488
Diatoma moniliformis	Meso	High profile	Colonial life form	Weak attachment	N	1.463	5	2.554
Diatoma spp.	Meso	High profile	Colonial life form	Weak attachment	N	1.432	4.569	2.108
Diatoma tenuis	Meso	High profile	Unicellular life form	Unattached	N	1.289	5	3
Diatoma vulgaris	Large	High profile	Colonial life form	Weak attachment	N	2	4	2
Diatoma vulgaris var. lineare	Large	High profile	Colonial life form	Weak attachment	N	1.498	4.619	2.638
Diatoma vulgaris var. ovalis	Large	High profile	Colonial life form	Weak attachment	N	1	4.435	2.269
Diatomella balfouriana	Large	Motile	Unicellular life form	Weak attachment	N	1	4	3
Didymosphenia geminata	Large	High profile	Colonial life form	Weak attachment	N	4	3	1
Didymosphenia spp.	Large	High profile	Colonial life form	Weak attachment	N	4	3	1
Diploneis boldtiana	Large	Motile	Unicellular life form	Unattached	N	1	4	2
Diploneis calcilacustris	Large	Motile	Unicellular life form	Unattached	N	1.334	3	1
Diploneis elliptica	Large	Motile	Unicellular life form	Unattached	N	1	3	1
Diploneis finnica	Large	Motile	Unicellular life form	Unattached	N	1.503	4	1
Diploneis fontanella	Large	Low profile	Colonial life form	Weak attachment	N	1.492	4	1
Diploneis marginestriata	Large	Low profile	Colonial life form	Weak attachment	N	1	3	1
Diploneis minuta	Large	Low profile	Colonial life form	Weak attachment	N	1	3	1
Diploneis oblongella	Large	Low profile	Colonial life form	Weak attachment	N	2	4	3
Diploneis ovalis	Large	Motile	Unicellular life form	Unattached	N	2	4	1
Diploneis petersenii	Large	Low profile	Colonial life form	Weak attachment	N	1.415	3	1
Diploneis pseudoovalis	Large	Low profile	Colonial life form	Weak attachment	N	1.443	3	1
Diploneis spp.	Large	Low profile	Colonial life form	Weak attachment	N	1.444	3	2
Diploneis subconstricta	Large	Low profile	Colonial life form	Weak attachment	N	2	2	1
Diploneis subovalis	Large	Low profile	Colonial life form	Weak attachment	N	1.5	2	2
Discostella asterocostata	Macro	Low profile	Unicellular life form	Unattached	N	2	5	3
Discostella lakuskarluki	Macro	Low profile	Unicellular life form	Weak attachment	N	1.98	5	3
Discostella pseudostelligera	Nano	Low profile	Unicellular life form	Weak attachment	N	2	5	3
Discostella stelligera	Macro	Low profile	Unicellular life form	Weak attachment	N	1.8	5	3
Discostella stelligeroides	Macro	Low profile	Unicellular life form	Weak attachment	N	2	5	3
Discostella woltereckii	Macro	Low profile	Unicellular life form	Weak attachment	N	2	5	3
Encyonema appalachianum	Micro	Motile	Colonial life form	Strong attachment	N	1.417	6.566	2.149
